REF_AREA,REF_AREA_LABEL,months_count,mean_inflation,volatility,max_inflation,min_inflation,cluster,cluster_name
MTQ,Martinique,294,2.468264295918368,2.2699824850371435,12.437396,-2.639296,1,Volatile Inflation
MRT,Mauritania,294,6.001579680272111,4.324421645518831,20.488785,-0.756553,1,Volatile Inflation
MUS,Mauritius,294,6.005998261904763,5.1275748498139135,19.874313,-8.427627,1,Volatile Inflation
MEX,Mexico,294,6.055907486394557,2.777420755399399,14.555046,0.028626,1,Volatile Inflation
FSM,"Micronesia, Fed. Sts.",276,2.9777711557971025,5.020354873611294,24.22123,-2.450091,1,Volatile Inflation
MNG,Mongolia,294,10.133440459183667,9.770127397498491,55.927835,-10.1,0,Stable Inflation
MNE,Montenegro,294,3.2530673809523822,5.026922059768991,30.183777,-3.638252,1,Volatile Inflation
MSR,Montserrat,291,2.2567669587628885,3.3186445017453003,13.146853,-4.642671,1,Volatile Inflation
MAR,Morocco,294,2.783301343537415,3.951018593634476,20.837298,-4.517811,1,Volatile Inflation
MOZ,Mozambique,294,10.549417292517,6.807691838731055,35.439474,-2.001163,1,Volatile Inflation
MMR,Myanmar,259,13.899546884169872,15.739341807204688,62.434481,-6.270303,1,Volatile Inflation
NAM,Namibia,294,7.411447224489798,4.344175589112933,18.903513,-1.853283,1,Volatile Inflation
NPL,Nepal,294,7.114517891156463,4.807537246772743,21.422663,-2.994781,1,Volatile Inflation
NLD,Netherlands,294,2.44679755442177,3.746181073001912,17.932763,-5.681191,1,Volatile Inflation
NCL,New Caledonia,294,2.171680363945579,2.3863704373120207,11.955594,-5.064378,1,Volatile Inflation
NZL,New Zealand,293,2.677455552901025,3.5098829933111686,13.833333,-2.485429,1,Volatile Inflation
NIC,Nicaragua,276,8.362507673913033,5.779485857886893,30.253663,-1.215878,1,Volatile Inflation
NER,Niger,294,3.956828166666668,6.956035582883599,27.858293,-10.327456,0,Stable Inflation
NGA,Nigeria,294,15.876716023809522,8.698989038058487,40.728924,-3.575313,1,Volatile Inflation
MKD,North Macedonia,294,3.166035656462586,6.233188009694223,31.214969,-5.502293,1,Volatile Inflation
NOR,Norway,294,2.295604017006802,3.300168851577514,13.446126,-7.064555,1,Volatile Inflation
OMN,Oman,294,2.8975402448979657,5.159682322470177,25.182186,-6.886074,1,Volatile Inflation
PAK,Pakistan,294,10.65884774829932,9.707098661709017,48.652697,-5.118485,1,Volatile Inflation
PLW,Palau,291,3.9824396494845375,6.00860983807075,24.778761,-6.560923,1,Volatile Inflation
PSE,West Bank and Gaza,294,6.182190870748299,17.92974992700869,193.75469,-12.264509,0,Stable Inflation
PAN,Panama,294,2.84873480952381,3.738094902358148,15.601023,-2.876051,1,Volatile Inflation
PNG,Papua New Guinea,291,3.3099584742268044,2.8159148609549858,9.478827,-4.937076,1,Volatile Inflation
PRY,Paraguay,294,7.96992497959184,7.576003678259286,34.70069,-5.476285,1,Volatile Inflation
PER,Peru,294,3.6479420986394553,3.8663353855521936,16.998938,-4.920117,1,Volatile Inflation
PHL,Philippines,294,4.443166142857144,2.9544003726749484,17.294686,-0.940439,1,Volatile Inflation
POL,Poland,294,3.887631799319729,4.6668618699049125,23.858173,-3.857567,1,Volatile Inflation
PRT,Portugal,294,2.273449734693877,3.949216423463014,21.46571,-6.333253,1,Volatile Inflation
PRI,Puerto Rico,294,2.697848544217689,2.608218901512307,11.146634,-1.601392,1,Volatile Inflation
QAT,Qatar,291,2.0533082164948446,2.152847393938625,7.232019,-5.436602,1,Volatile Inflation
KOR,"Korea, Rep.",294,4.021902425170068,3.1215848492978133,13.346902,-4.062155,1,Volatile Inflation
MDA,Moldova,294,9.308074421768708,7.610294548675438,39.390717,-9.789002,0,Stable Inflation
REU,Reunion,294,2.139089921768708,2.0184910601852937,10.384615,-1.463415,1,Volatile Inflation
ROU,Romania,292,6.823449232876714,8.754497531209248,43.26875,-7.605671,1,Volatile Inflation
RUS,Russian Federation,291,10.507716326460482,6.57613310977969,27.587087,-1.564885,1,Volatile Inflation
RWA,Rwanda,294,9.62870318027211,13.029587285760712,64.453029,-14.171474,0,Stable Inflation
KNA,St. Kitts and Nevis,290,2.854458868965517,5.118521948033694,14.666838,-14.280908,0,Stable Inflation
LCA,St. Lucia,289,2.5019979896193765,4.188150208016867,13.093021,-6.715017,1,Volatile Inflation
VCT,St. Vincent and the Grenadines,294,3.660582925170067,4.337108448074569,18.057851,-8.924103,0,Stable Inflation
WSM,Samoa,294,5.576197952380949,7.640499766851049,28.295042,-13.688525,0,Stable Inflation
SMR,San Marino,292,4.997429945205479,3.0367689165721075,14.349966,-0.020651,1,Volatile Inflation
STP,Sao Tome and Principe,293,14.58151443686008,8.473841324334822,43.143544,-1.140514,1,Volatile Inflation
SAU,Saudi Arabia,294,3.641618238095236,3.507464770817015,15.19806,-3.19732,1,Volatile Inflation
SEN,Senegal,294,3.523506765306123,4.935205927961079,21.403038,-9.870477,0,Stable Inflation
SRB,Serbia,294,13.321981149659866,25.48049807708989,160.950173,-4.378819,1,Volatile Inflation
SYC,Seychelles,294,5.620408078231295,12.794702354649404,69.334619,-8.333333,1,Volatile Inflation
SLE,Sierra Leone,294,12.708550578231296,11.8932006544661,64.666222,2.333248,1,Volatile Inflation
SGP,Singapore,294,2.340620166666665,2.368900795360526,11.446168,-2.427354,1,Volatile Inflation
SVK,Slovak Republic,294,3.785968877551021,5.687244483063437,28.14983,-5.687204,1,Volatile Inflation
SVN,Slovenia,294,3.8366306904761904,4.397103299438181,19.290928,-2.898354,1,Volatile Inflation
SLB,Solomon Islands,294,5.336701748299318,7.347720039914372,35.85625,-9.842651,0,Stable Inflation
